rep,Ordre,ANIMALID,Sexe,lot,date,day,age,DFI,period
1,5,1,3,CD,4/20/2017,1,100,"2,22513",P1
1,8,2,3,DD,4/20/2017,1,100,"3,13113",P1
1,10,3,1,CC,4/20/2017,1,100,"2,01063",P1
1,12,4,1,CC,4/20/2017,1,100,"2,12025",P1
1,13,5,1,DD,4/20/2017,1,100,"2,3405",P1
1,15,6,1,DC,4/20/2017,1,100,"3,39488",P1
1,17,7,1,CD,4/20/2017,1,100,"1,4755",P1
1,18,8,1,CD,4/20/2017,1,100,"2,0915",P1
1,19,9,1,DD,4/20/2017,1,100,"2,46063",P1
1,21,10,1,CD,4/20/2017,1,100,"1,73463",P1
1,23,11,1,CD,4/20/2017,1,100,"2,67488",P1
1,24,12,1,DC,4/20/2017,1,100,"2,114",P1
1,26,13,3,CC,4/20/2017,1,100,"2,3455",P1
1,27,,3,CC,4/20/2017,1,100,"3,11388",P1
1,28,,3,DD,4/20/2017,1,100,"1,87063",P1
1,29,,3,DC,4/20/2017,1,100,"2,29438",P1
1,30,,3,CD,4/20/2017,1,100,"2,04213",P1
1,31,,3,DC,4/20/2017,1,100,"2,73338",P1
1,35,,3,CC,4/20/2017,1,100,"3,415",P1
1,37,,3,DC,4/20/2017,1,100,"2,29313",P1
1,39,,3,DC,4/20/2017,1,100,"2,50288",P1
1,40,,3,CD,4/20/2017,1,100,"2,07188",P1
1,44,,1,CD,4/20/2017,1,100,"2,05313",P1
1,47,,3,DD,4/20/2017,1,100,"2,2265",P1
1,49,,3,DC,4/20/2017,1,100,"2,50525",P1
1,50,,3,DC,4/20/2017,1,100,"2,97563",P1
1,52,,3,DC,4/20/2017,1,100,"1,93263",P1
1,53,,1,DD,4/20/2017,1,100,"1,813",P1
1,54,,1,CC,4/20/2017,1,100,"2,37788",P1
1,55,,1,CC,4/20/2017,1,100,"2,45863",P1
1,56,,1,DD,4/20/2017,1,100,"1,894",P1
1,57,,1,CC,4/20/2017,1,100,"2,19263",P1
1,62,,3,CD,4/20/2017,1,100,"2,91025",P1
1,63,,3,CC,4/20/2017,1,100,"2,51088",P1
1,65,,3,DD,4/20/2017,1,100,"2,11788",P1
1,66,,3,DD,4/20/2017,1,100,"2,846",P1
1,67,,1,DC,4/20/2017,1,100,"2,32325",P1
1,68,,1,CC,4/20/2017,1,100,"1,27313",P1
1,69,,1,DC,4/20/2017,1,100,"2,55175",P1
1,70,,1,CD,4/20/2017,1,100,"2,18775",P1
1,71,,1,CC,4/20/2017,1,100,"1,59238",P1
1,73,,1,DD,4/20/2017,1,100,"2,63913",P1
1,76,,1,DD,4/20/2017,1,100,"2,03763",P1
1,77,,1,DD,4/20/2017,1,100,"1,15013",P1
1,78,,1,DD,4/20/2017,1,100,"2,20475",P1
1,79,,3,DC,4/20/2017,1,100,"2,35925",P1
1,80,,3,CC,4/20/2017,1,100,"1,82238",P1
1,81,,3,DD,4/20/2017,1,100,"2,70613",P1
1,82,,3,DD,4/20/2017,1,100,"2,01763",P1
1,84,,3,CC,4/20/2017,1,100,"2,13738",P1
1,85,,3,CC,4/20/2017,1,100,"2,85138",P1
1,86,,3,CD,4/20/2017,1,100,"3,08825",P1
1,88,,3,DC,4/20/2017,1,100,"2,673",P1
