floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,7,2.0,1.51,2.0,1.51,50.72,0,2,0,0,0
1.0,7,2.0,1.57,4.0,3.08,51.29,6,3,3,0,0
2.0,7,2.04,1.85,6.04,4.93,51.89,4,2,1,0,0
3.0,7,2.08,1.87,8.12,6.8,52.59,4,3,2,0,0
4.0,7,2.12,2.13,10.24,8.93,53.3,6,4,3,0,0
5.0,7,2.16,2.4,12.4,11.33,54.1,5,2,2,0,0
6.0,7,2.2,1.77,14.6,13.1,55.01,8,4,3,0,0
7.0,7,2.24,2.44,16.84,15.54,55.67,7,2,3,0,0
8.0,7,2.28,2.02,19.12,17.56,56.58,4,3,2,0,0
9.0,7,2.32,2.14,21.44,19.7,57.34,8,3,3,0,0
10.0,7,2.36,2.14,23.8,21.84,58.14,6,2,2,0,0
11.0,7,2.4,2.41,26.2,24.25,58.93,8,4,2,0,0
12.0,7,2.44,2.09,28.64,26.34,59.83,2,4,1,0,0
13.0,7,2.48,2.23,31.12,28.57,60.6,4,4,3,0,0
14.0,7,2.52,2.34,33.64,30.91,61.42,7,3,3,0,0
15.0,7,2.56,2.24,36.2,33.15,62.28,5,2,3,0,0
16.0,7,2.6,2.25,38.8,35.4,63.1,8,4,3,0,0
17.0,7,2.64,2.95,41.44,38.35,63.93,12,4,3,0,0
18.0,7,2.68,2.3,44.12,40.65,65.0,9,4,3,0,0
19.0,7,2.72,2.46,46.84,43.11,65.84,5,2,1,0,0
20.0,7,2.76,3.12,49.6,46.23,66.73,3,2,1,0,0
21.0,7,2.8,2.43,52.4,48.66,67.86,6,2,3,0,0
22.0,7,2.84,3.07,55.24,51.73,68.73,5,4,1,0,0
23.0,7,2.88,2.86,58.12,54.59,69.84,8,3,2,0,0
24.0,7,2.92,2.75,61.04,57.34,70.86,7,4,3,0,0
25.0,7,2.96,2.54,64.0,59.88,71.84,5,4,3,0,0
26.0,7,3.0,3.12,67.0,63.0,72.74,7,3,3,0,0
27.0,7,3.0,3.45,70.0,66.45,73.85,6,4,3,0,0
28.0,7,3.0,3.37,73.0,69.82,75.07,9,2,2,0,0
29.0,7,3.0,2.73,76.0,72.55,76.25,9,2,3,0,0
30.0,7,3.0,2.59,79.0,75.14,77.21,4,4,1,0,0
31.0,7,3.0,2.97,82.0,78.11,78.12,8,2,2,0,0
32.0,7,3.0,3.23,85.0,81.34,79.15,7,4,3,0,0
33.0,7,3.0,2.91,88.0,84.25,80.27,4,3,3,0,0
34.0,7,3.0,3.47,91.0,87.72,81.28,7,4,3,0,0
35.0,7,3.0,2.76,94.0,90.48,82.47,5,4,2,0,0
36.0,7,3.0,3.39,97.0,93.87,83.42,6,3,3,0,0
37.0,7,3.0,3.23,100.0,97.1,84.58,3,2,2,0,0
38.0,7,3.0,3.05,103.0,100.15,85.68,5,2,3,0,0
39.0,7,3.0,3.06,106.0,103.21,86.71,3,2,3,0,0
40.0,7,3.0,2.8,109.0,106.01,87.75,8,2,3,0,0
41.0,7,3.0,2.52,112.0,108.53,88.69,5,4,3,0,0
42.0,7,3.0,2.75,115.0,111.28,89.54,10,4,3,0,0
43.0,7,3.0,3.46,118.0,114.74,90.46,8,3,2,0,0
44.0,7,3.0,2.58,121.0,117.32,91.61,6,3,3,0,0
45.0,7,3.0,3.4,124.0,120.72,92.47,8,2,3,0,0
46.0,7,3.0,2.86,127.0,123.58,93.6,4,4,2,0,0
47.0,7,3.0,2.9,130.0,126.48,94.54,4,2,2,0,0
48.0,7,3.0,2.51,133.0,128.99,95.5,5,4,3,0,0
49.0,7,3.0,3.34,136.0,132.33,96.32,6,3,3,0,0
50.0,7,3.0,3.22,139.0,135.55,97.41,10,3,3,0,0
51.0,7,3.0,2.51,142.0,138.06,98.46,8,2,3,0,0
52.0,7,3.0,3.13,145.0,141.19,99.28,4,2,1,0,0
53.0,7,3.0,2.56,148.0,143.75,100.29,7,3,3,0,0
54.0,7,3.0,3.13,151.0,146.88,101.11,8,2,2,0,0
55.0,7,3.0,2.73,154.0,149.61,102.12,5,3,1,0,0
