floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,4,2.0,2.48,2.0,2.48,51.73,0,2,0,0,0
1.0,4,2.0,2.37,4.0,4.85,52.68,5,4,1,0,0
2.0,4,2.04,2.32,6.04,7.17,53.58,6,2,3,0,0
3.0,4,2.08,1.7,8.12,8.87,54.46,7,2,3,0,0
4.0,4,2.12,2.43,10.24,11.3,55.1,5,3,2,0,0
5.0,4,2.16,2.03,12.4,13.33,56.02,6,3,3,0,0
6.0,4,2.2,1.81,14.6,15.14,56.79,2,3,1,0,0
7.0,4,2.24,2.33,16.84,17.47,57.47,9,4,3,0,0
8.0,4,2.28,1.91,19.12,19.38,58.34,6,2,3,0,0
9.0,4,2.32,2.01,21.44,21.39,59.06,6,2,3,0,0
10.0,4,2.36,2.27,23.8,23.66,59.81,9,2,3,0,0
11.0,4,2.4,1.94,26.2,25.6,60.65,8,4,3,0,0
12.0,4,2.44,2.32,28.64,27.92,61.37,7,4,3,0,0
13.0,4,2.48,2.18,31.12,30.1,62.23,8,3,3,0,0
14.0,4,2.52,2.19,33.64,32.29,63.04,6,4,3,0,0
15.0,4,2.56,2.68,36.2,34.97,63.84,6,2,3,0,0
16.0,4,2.6,2.52,38.8,37.49,64.83,7,3,2,0,0
17.0,4,2.64,2.46,41.44,39.95,65.75,3,2,3,0,0
18.0,4,2.68,2.95,44.12,42.9,66.65,6,3,3,0,0
19.0,4,2.72,2.52,46.84,45.42,67.72,6,4,2,0,0
20.0,4,2.76,3.21,49.6,48.63,68.63,8,4,3,0,0
21.0,4,2.8,2.79,52.4,51.42,69.79,9,3,3,0,0
22.0,4,2.84,2.68,55.24,54.1,70.8,10,2,3,0,0
23.0,4,2.88,2.43,58.12,56.53,71.76,6,3,3,0,0
24.0,4,2.92,3.16,61.04,59.69,72.63,6,2,2,0,0
25.0,4,2.96,3.37,64.0,63.06,73.76,5,2,3,0,0
26.0,4,3.0,2.59,67.0,65.65,74.95,5,3,3,0,0
27.0,4,3.0,3.38,70.0,69.03,75.87,4,4,1,0,0
28.0,4,3.0,2.73,73.0,71.76,77.06,6,4,3,0,0
29.0,4,3.0,3.17,76.0,74.93,78.02,3,3,3,0,0
30.0,4,3.0,2.95,79.0,77.88,79.13,4,3,2,0,0
31.0,4,3.0,3.14,82.0,81.02,80.16,8,3,3,0,0
32.0,4,3.0,2.54,85.0,83.56,81.25,5,3,1,0,0
33.0,4,3.0,2.51,88.0,86.07,82.13,4,2,2,0,0
34.0,4,3.0,2.95,91.0,89.02,83.0,5,2,3,0,0
35.0,4,3.0,2.99,94.0,92.01,84.01,8,2,3,0,0
36.0,4,3.0,3.41,97.0,95.42,85.04,3,4,2,1,0
37.0,4,3.0,1.52,100.0,96.94,86.2,5,6,1,1,1
38.0,4,3.0,2.1,103.0,99.04,86.72,6,4,3,1,2
39.0,4,3.0,1.49,106.0,100.53,87.43,3,4,2,1,3
40.0,4,3.0,1.25,109.0,101.78,87.94,5,6,2,1,4
41.0,4,3.0,1.78,112.0,103.56,88.36,2,6,1,1,5
42.0,4,3.0,1.98,115.0,105.54,88.96,4,6,3,0,5
43.0,4,3.0,3.66,118.0,109.2,89.63,10,4,3,0,6
44.0,4,3.0,3.57,121.0,112.77,90.86,5,2,3,0,6
45.0,4,3.0,3.08,124.0,115.85,92.06,9,3,3,0,6
46.0,4,3.0,3.77,127.0,119.62,93.08,8,4,3,0,6
47.0,4,3.0,3.17,130.0,122.79,94.33,6,2,3,0,6
48.0,4,3.0,3.76,133.0,126.55,95.38,7,4,3,0,6
49.0,4,3.0,3.23,136.0,129.78,96.62,5,2,2,0,6
50.0,4,3.0,3.59,139.0,133.37,97.68,9,2,3,0,6
51.0,4,3.0,3.03,142.0,136.4,98.85,9,3,3,0,6
52.0,4,3.0,3.76,145.0,140.16,99.83,7,2,3,0,6
53.0,4,3.0,3.09,148.0,143.25,101.05,4,4,1,0,6
54.0,4,3.0,3.26,151.0,146.51,102.05,6,4,3,0,6
55.0,4,3.0,2.76,154.0,149.27,103.09,8,2,3,0,6
