floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,19,2.0,1.91,2.0,1.91,51.94,0,2,0,0,0
1.0,19,2.0,1.78,4.0,3.69,52.69,7,4,3,0,0
2.0,19,2.04,1.96,6.04,5.65,53.38,6,2,3,0,0
3.0,19,2.08,1.8,8.12,7.45,54.14,4,2,1,0,0
4.0,19,2.12,1.8,10.24,9.25,54.84,5,4,3,0,0
5.0,19,2.16,2.59,12.4,11.84,55.53,5,3,2,0,0
6.0,19,2.2,2.43,14.6,14.27,56.53,7,4,3,0,0
7.0,19,2.24,2.47,16.84,16.74,57.46,4,3,1,0,0
8.0,19,2.28,2.25,19.12,18.99,58.41,8,3,3,0,0
9.0,19,2.32,1.95,21.44,20.94,59.27,5,4,2,0,0
10.0,19,2.36,2.13,23.8,23.07,60.01,8,2,3,0,0
11.0,19,2.4,2.76,26.2,25.83,60.82,5,3,2,0,0
12.0,19,2.44,2.54,28.64,28.37,61.87,6,3,2,0,0
13.0,19,2.48,2.23,31.12,30.6,62.83,8,2,3,0,0
14.0,19,2.52,2.25,33.64,32.85,63.67,5,3,2,0,0
15.0,19,2.56,2.42,36.2,35.27,64.51,3,3,1,1,0
16.0,19,2.6,1.03,38.8,36.3,65.42,3,6,2,0,0
17.0,19,2.64,3.31,41.44,39.61,65.8,4,3,3,1,1
18.0,19,2.68,1.94,44.12,41.55,67.04,2,4,1,1,2
19.0,19,2.72,1.21,46.84,42.76,67.76,5,4,3,1,3
20.0,19,2.76,1.29,49.6,44.05,68.21,6,6,3,1,4
21.0,19,2.8,1.77,52.4,45.82,68.68,2,5,2,1,5
22.0,19,2.84,1.87,55.24,47.69,69.34,6,5,1,0,5
23.0,19,2.88,3.71,58.12,51.4,70.03,4,2,1,0,6
24.0,19,2.92,2.99,61.04,54.39,71.39,4,3,3,0,6
25.0,19,2.96,3.35,64.0,57.74,72.49,9,4,2,0,6
26.0,19,3.0,3.34,67.0,61.08,73.71,8,4,3,0,6
27.0,19,3.0,3.62,70.0,64.7,74.92,7,4,2,0,6
28.0,19,3.0,3.13,73.0,67.83,76.23,4,3,1,0,6
29.0,19,3.0,3.23,76.0,71.06,77.35,9,3,3,0,6
30.0,19,3.0,3.51,79.0,74.57,78.51,6,3,3,0,6
31.0,19,3.0,3.09,82.0,77.66,79.76,6,2,3,0,6
32.0,19,3.0,3.36,85.0,81.02,80.86,3,3,2,0,6
33.0,19,3.0,3.07,88.0,84.09,82.05,6,4,3,0,6
34.0,19,3.0,3.07,91.0,87.16,83.14,6,2,2,0,6
35.0,19,3.0,3.45,94.0,90.61,84.21,4,2,2,0,6
36.0,19,3.0,2.91,97.0,93.52,85.42,7,4,3,0,6
37.0,19,3.0,3.27,100.0,96.79,86.44,6,2,3,0,6
38.0,19,3.0,3.11,103.0,99.9,87.57,4,2,2,0,6
39.0,19,3.0,2.74,106.0,102.64,88.65,2,3,2,0,6
40.0,19,3.0,3.6,109.0,106.24,89.59,5,3,3,0,6
41.0,19,3.0,2.84,112.0,109.08,90.83,7,3,3,0,6
42.0,19,3.0,3.45,115.0,112.53,91.8,3,3,0,0,6
43.0,19,3.0,2.85,118.0,115.38,92.97,5,3,0,0,6
44.0,19,3.0,3.07,121.0,118.45,93.94,5,2,3,0,6
45.0,19,3.0,3.25,124.0,121.7,94.98,9,3,3,0,6
46.0,19,3.0,3.06,127.0,124.76,96.07,6,4,3,0,6
47.0,19,3.0,3.1,130.0,127.86,97.1,7,4,1,0,6
48.0,19,3.0,3.08,133.0,130.94,98.14,6,2,2,0,6
49.0,19,3.0,3.39,136.0,134.33,99.16,6,3,3,0,6
50.0,19,3.0,3.14,139.0,137.47,100.29,4,3,3,0,6
51.0,19,3.0,2.97,142.0,140.44,101.32,7,2,3,0,6
52.0,19,3.0,3.07,145.0,143.51,102.3,6,3,3,0,6
53.0,19,3.0,3.04,148.0,146.55,103.31,8,3,3,0,6
54.0,19,3.0,3.35,151.0,149.9,104.3,8,3,3,0,6
55.0,19,3.0,3.31,154.0,153.21,105.39,7,2,3,0,6
