floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,19,2.0,2.03,2.0,2.03,48.44,0,4,0,0,0
1.0,19,2.0,2.45,4.0,4.48,49.29,8,4,3,0,0
2.0,19,2.04,2.12,6.04,6.6,50.31,5,4,3,0,0
3.0,19,2.08,2.52,8.12,9.12,51.2,5,2,3,0,0
4.0,19,2.12,1.75,10.24,10.87,52.24,6,4,3,0,0
5.0,19,2.16,2.21,12.4,13.08,52.97,6,2,0,0,0
6.0,19,2.2,2.5,14.6,15.58,53.88,6,4,2,0,0
7.0,19,2.24,1.83,16.84,17.41,54.91,3,3,3,0,0
8.0,19,2.28,2.48,19.12,19.89,55.66,5,2,3,0,0
9.0,19,2.32,2.26,21.44,22.15,56.68,9,3,3,0,0
10.0,19,2.36,2.46,23.8,24.61,57.6,8,3,1,0,0
11.0,19,2.4,2.21,26.2,26.82,58.6,8,2,3,0,0
12.0,19,2.44,2.46,28.64,29.28,59.5,7,4,3,0,0
13.0,19,2.48,2.9,31.12,32.18,60.49,7,3,3,0,0
14.0,19,2.52,2.24,33.64,34.42,61.66,4,2,3,0,0
15.0,19,2.56,3.01,36.2,37.43,62.56,2,4,0,1,0
16.0,19,2.6,1.84,38.8,39.27,63.77,4,5,2,1,1
17.0,19,2.64,1.77,41.44,41.04,64.5,5,6,2,1,2
18.0,19,2.68,1.76,44.12,42.8,65.21,8,5,3,0,2
19.0,19,2.72,2.64,46.84,45.44,65.91,1,2,0,1,3
20.0,19,2.76,1.69,49.6,47.13,66.95,3,6,1,1,4
21.0,19,2.8,1.99,52.4,49.12,67.62,2,6,1,1,5
22.0,19,2.84,1.9,55.24,51.02,68.4,4,6,3,0,5
23.0,19,2.88,3.03,58.12,54.05,69.15,8,2,3,0,6
24.0,19,2.92,3.61,61.04,57.66,70.34,8,3,3,0,6
25.0,19,2.96,3.57,64.0,61.23,71.75,11,3,3,0,6
26.0,19,3.0,2.81,67.0,64.04,73.13,8,3,2,0,6
27.0,19,3.0,2.75,70.0,66.79,74.22,7,4,3,0,6
28.0,19,3.0,3.29,73.0,70.08,75.28,6,3,2,0,6
29.0,19,3.0,2.97,76.0,73.05,76.54,8,2,3,0,6
30.0,19,3.0,3.66,79.0,76.71,77.68,7,2,3,0,6
31.0,19,3.0,3.03,82.0,79.74,79.07,6,3,3,0,6
32.0,19,3.0,3.66,85.0,83.4,80.22,5,2,2,0,6
33.0,19,3.0,3.4,88.0,86.8,81.6,5,2,3,0,6
34.0,19,3.0,2.7,91.0,89.5,82.88,7,4,3,0,6
35.0,19,3.0,3.61,94.0,93.11,83.89,3,4,0,0,6
36.0,19,3.0,3.1,97.0,96.21,85.23,6,2,2,1,6
37.0,19,3.0,1.86,100.0,98.07,86.38,2,4,2,1,7
38.0,19,3.0,2.55,103.0,100.62,87.07,6,4,3,1,8
39.0,19,3.0,1.75,106.0,102.37,88.01,4,4,3,1,9
40.0,19,3.0,1.74,109.0,104.11,88.65,5,5,3,1,10
41.0,19,3.0,1.89,112.0,106.0,89.29,4,5,2,1,11
42.0,19,3.0,2.23,115.0,108.23,89.98,3,5,2,1,12
43.0,19,3.0,1.79,118.0,110.02,90.8,6,5,2,0,13
44.0,19,3.0,4.02,121.0,114.04,91.45,8,3,3,0,13
45.0,19,3.0,3.7,124.0,117.74,92.91,6,4,1,0,13
46.0,19,3.0,3.33,127.0,121.07,94.24,3,3,2,0,13
47.0,19,3.0,3.62,130.0,124.69,95.44,5,4,3,0,13
48.0,19,3.0,3.21,133.0,127.9,96.73,7,3,3,0,13
49.0,19,3.0,3.32,136.0,131.22,97.88,2,4,0,0,13
50.0,19,3.0,3.72,139.0,134.94,99.05,6,3,3,0,13
51.0,19,3.0,3.52,142.0,138.46,100.37,3,3,2,0,13
52.0,19,3.0,3.55,145.0,142.01,101.6,5,2,2,0,13
53.0,19,3.0,3.19,148.0,145.2,102.84,7,3,3,0,13
54.0,19,3.0,3.65,151.0,148.85,103.95,9,4,3,0,13
55.0,19,3.0,2.9,154.0,151.75,105.22,8,2,3,0,13
