floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,10,2.0,2.33,2.0,2.33,47.69,0,4,0,0,0
1.0,10,2.0,2.0,4.0,4.33,48.66,5,4,2,0,0
2.0,10,2.04,2.45,6.04,6.78,49.5,7,2,3,0,0
3.0,10,2.08,1.63,8.12,8.41,50.52,6,4,0,0,0
4.0,10,2.12,1.65,10.24,10.06,51.19,12,4,3,0,0
5.0,10,2.16,2.18,12.4,12.24,51.87,7,3,3,0,0
6.0,10,2.2,2.4,14.6,14.64,52.77,4,2,1,0,0
7.0,10,2.24,1.83,16.84,16.47,53.76,4,4,1,0,0
8.0,10,2.28,2.2,19.12,18.67,54.51,4,4,1,0,0
9.0,10,2.32,2.49,21.44,21.16,55.41,9,4,3,0,0
10.0,10,2.36,2.44,23.8,23.6,56.43,9,4,3,0,0
11.0,10,2.4,1.93,26.2,25.53,57.42,3,4,1,1315,0
12.0,10,2.44,2.31,28.64,27.84,58.2,4,2,2,2134,0
13.0,10,2.48,1.73,31.12,29.57,59.14,5,3,3,1075,0
14.0,10,2.52,1.41,33.64,30.98,59.83,1,3,1,1195,0
15.0,10,2.56,1.73,36.2,32.71,60.4,5,3,3,1435,0
16.0,10,2.6,1.44,38.8,34.15,61.1,5,2,2,1195,0
17.0,10,2.64,1.57,41.44,35.72,61.67,2,4,1,655,0
18.0,10,2.68,1.47,44.12,37.19,62.3,5,2,3,931,0
19.0,10,2.72,1.63,46.84,38.82,62.89,6,4,3,0,0
20.0,10,2.76,1.59,49.6,40.41,63.54,4,4,1,1055,0
21.0,10,2.8,1.05,52.4,41.46,64.17,7,3,3,0,0
22.0,10,2.84,1.8,55.24,43.26,64.59,2,4,1,872,0
23.0,10,2.88,1.51,58.12,44.77,65.3,9,2,3,0,0
24.0,10,2.92,1.47,61.04,46.24,65.9,5,3,3,0,0
25.0,10,2.96,1.77,64.0,48.01,66.48,5,3,1,0,0
26.0,10,3.0,1.96,67.0,49.97,67.17,6,2,3,0,0
27.0,10,3.0,3.96,70.0,53.93,67.94,4,3,1,0,0
28.0,10,3.0,4.49,73.0,58.42,69.49,6,3,3,0,0
29.0,10,3.0,4.29,76.0,62.71,71.24,10,2,3,0,0
30.0,10,3.0,3.65,79.0,66.36,72.9,5,4,3,0,0
31.0,10,3.0,3.7,82.0,70.06,74.3,4,4,2,0,0
32.0,10,3.0,4.27,85.0,74.33,75.72,10,2,3,0,0
33.0,10,3.0,3.2,88.0,77.53,77.35,4,3,1,0,0
34.0,10,3.0,3.77,91.0,81.3,78.56,8,4,2,0,0
35.0,10,3.0,3.77,94.0,85.07,79.99,5,2,2,0,0
36.0,10,3.0,3.4,97.0,88.47,81.4,8,4,3,0,0
37.0,10,3.0,3.46,100.0,91.93,82.68,3,4,3,0,0
38.0,10,3.0,3.67,103.0,95.6,83.96,7,4,3,0,0
39.0,10,3.0,3.58,106.0,99.18,85.32,8,4,3,0,0
40.0,10,3.0,3.9,109.0,103.08,86.64,7,2,3,0,0
41.0,10,3.0,2.97,112.0,106.05,88.08,2,2,1,0,0
42.0,10,3.0,3.74,115.0,109.79,89.16,7,3,2,0,0
43.0,10,3.0,3.03,118.0,112.82,90.52,5,2,3,0,0
44.0,10,3.0,3.44,121.0,116.26,91.62,5,3,1,0,0
45.0,10,3.0,3.05,124.0,119.31,92.86,4,3,2,0,0
46.0,10,3.0,3.24,127.0,122.55,93.96,9,2,3,0,0
47.0,10,3.0,3.38,130.0,125.93,95.12,3,4,1,0,0
48.0,10,3.0,3.37,133.0,129.3,96.32,6,2,3,0,0
49.0,10,3.0,3.12,136.0,132.42,97.52,12,4,3,0,0
50.0,10,3.0,3.19,139.0,135.61,98.62,6,2,1,0,0
51.0,10,3.0,3.67,142.0,139.28,99.74,8,2,3,0,0
52.0,10,3.0,3.46,145.0,142.74,101.02,5,4,2,0,0
53.0,10,3.0,3.29,148.0,146.03,102.23,7,4,3,0,0
54.0,10,3.0,3.61,151.0,149.64,103.37,7,3,2,0,0
55.0,10,3.0,3.35,154.0,152.99,104.62,5,2,2,0,0
