floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count
0.0,18,2.0,2.13,2.0,2.13,22.91,0,4,0
1.0,18,2.0,2.15,4.0,4.28,23.74,6,4,3
2.0,18,2.04,1.62,6.04,5.9,24.59,9,3,3
3.0,18,2.08,2.04,8.12,7.94,25.22,6,4,3
4.0,18,2.12,1.84,10.24,9.78,26.01,4,2,2
5.0,18,2.16,2.43,12.4,12.21,26.72,4,2,1
6.0,18,2.2,1.9,14.6,14.11,27.67,5,3,2
7.0,18,2.24,2.45,16.84,16.56,28.4,8,4,3
8.0,18,2.28,2.46,19.12,19.02,29.34,3,4,1
9.0,18,2.32,2.8,21.44,21.82,30.29,6,3,2
10.0,18,2.36,2.26,23.8,24.08,31.36,6,4,1
11.0,18,2.4,1.99,26.2,26.07,32.22,4,3,3
12.0,18,2.44,2.17,28.64,28.24,32.98,9,3,3
13.0,18,2.48,2.15,31.12,30.39,33.8,7,4,3
14.0,18,2.52,2.24,33.64,32.63,34.61,6,4,2
15.0,18,2.56,2.96,36.2,35.59,35.46,4,2,3
16.0,18,2.6,2.25,38.8,37.84,36.57,9,2,3
17.0,18,2.64,2.97,41.44,40.81,37.42,5,4,3
18.0,18,2.68,2.24,44.12,43.05,38.53,7,4,3
19.0,18,2.72,2.94,46.84,45.99,39.36,8,2,3
20.0,18,2.76,3.1,49.6,49.09,40.45,5,3,2
21.0,18,2.8,2.73,52.4,51.82,41.6,4,4,2
22.0,18,2.84,2.9,55.24,54.72,42.61,8,2,1
23.0,18,2.88,2.62,58.12,57.34,43.67,4,3,1
24.0,18,2.92,3.02,61.04,60.36,44.63,7,3,2
25.0,18,2.96,2.5,64.0,62.86,45.73,6,2,3
26.0,18,3.0,3.29,67.0,66.15,46.64,2,4,2
27.0,18,3.0,3.4,70.0,69.55,47.83,5,2,2
28.0,18,3.0,2.63,73.0,72.18,49.06,6,4,3
29.0,18,3.0,3.02,76.0,75.2,50.01,9,2,2
30.0,18,3.0,3.44,79.0,78.64,51.09,6,4,3
31.0,18,3.0,3.06,82.0,81.7,52.31,8,2,3
32.0,18,3.0,2.57,85.0,84.27,53.4,9,3,3
33.0,18,3.0,3.38,88.0,87.65,54.31,5,4,0
34.0,18,3.0,3.04,91.0,90.69,55.5,11,2,3
35.0,18,3.0,3.09,94.0,93.78,56.57,5,3,3
36.0,18,3.0,3.3,97.0,97.08,57.65,7,4,3
37.0,18,3.0,3.45,100.0,100.53,58.8,9,2,3
38.0,18,3.0,3.19,103.0,103.72,60.0,4,4,1
39.0,18,3.0,3.14,106.0,106.86,61.11,5,3,3
40.0,18,3.0,2.93,109.0,109.79,62.19,8,2,2
41.0,18,3.0,3.3,112.0,113.09,63.19,8,2,3
42.0,18,3.0,3.27,115.0,116.36,64.32,7,4,1
43.0,18,3.0,3.07,118.0,119.43,65.43,3,3,2
44.0,18,3.0,3.46,121.0,122.89,66.48,5,2,3
45.0,18,3.0,3.07,124.0,125.96,67.64,3,2,1
46.0,18,3.0,2.93,127.0,128.89,68.68,6,2,3
47.0,18,3.0,2.64,130.0,131.53,69.66,5,4,2
48.0,18,3.0,2.74,133.0,134.27,70.54,8,2,1
49.0,18,3.0,3.19,136.0,137.46,71.45,10,4,3
50.0,18,3.0,2.62,139.0,140.08,72.51,8,2,3
51.0,18,3.0,2.97,142.0,143.05,73.38,10,2,3
52.0,18,3.0,2.8,145.0,145.85,74.35,4,3,1
53.0,18,3.0,3.06,148.0,148.91,75.27,6,3,2
54.0,18,3.0,2.77,151.0,151.68,76.27,9,3,3
55.0,18,3.0,2.97,154.0,154.65,77.18,3,2,1
56.0,18,3.0,2.81,157.0,157.46,78.14,5,4,3
57.0,18,3.0,2.94,160.0,160.4,79.05,6,3,2
58.0,18,3.0,2.65,163.0,163.05,80.0,3,3,2
59.0,18,3.0,2.66,166.0,165.71,80.85,6,4,2
60.0,18,3.0,2.68,169.0,168.39,81.7,8,2,3
61.0,18,3.0,3.4,172.0,171.79,82.56,6,2,0
62.0,18,3.0,2.88,175.0,174.67,83.64,7,4,3
63.0,18,3.0,3.24,178.0,177.91,84.55,6,4,2
64.0,18,3.0,2.62,181.0,180.53,85.57,7,2,3
65.0,18,3.0,3.04,184.0,183.57,86.39,3,3,1
66.0,18,3.0,3.48,187.0,187.05,87.35,7,2,3
67.0,18,3.0,2.79,190.0,189.84,88.43,7,4,1
