floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,1,2.0,1.84,2.0,1.84,48.44,0,4,0,0,0
1.0,1,2.0,2.33,4.0,4.17,49.19,6,2,3,0,0
2.0,1,2.04,2.46,6.04,6.63,50.14,5,4,3,0,0
3.0,1,2.08,1.73,8.12,8.36,51.14,6,4,3,0,0
4.0,1,2.12,2.3,10.24,10.66,51.85,7,4,1,0,0
5.0,1,2.16,2.59,12.4,13.25,52.78,4,2,3,0,0
6.0,1,2.2,2.26,14.6,15.51,53.82,5,3,3,0,0
7.0,1,2.24,2.45,16.84,17.96,54.73,9,4,2,0,0
8.0,1,2.28,2.66,19.12,20.62,55.71,7,4,2,0,0
9.0,1,2.32,1.82,21.44,22.44,56.78,7,4,3,0,0
10.0,1,2.36,2.76,23.8,25.2,57.5,6,2,3,0,0
11.0,1,2.4,2.58,26.2,27.78,58.6,3,3,1,0,0
12.0,1,2.44,2.44,28.64,30.22,59.62,4,2,3,1,0
13.0,1,2.48,1.36,31.12,31.58,60.58,3,2,2,0,0
14.0,1,2.52,1.74,33.64,33.32,61.12,0,3,0,0,0
15.0,1,2.56,0.0,36.2,33.32,61.8,3,2,1,0,0
16.0,1,2.6,1.67,38.8,34.99,61.8,0,4,0,0,0
17.0,1,2.64,0.0,41.44,34.99,62.46,5,3,3,0,1
18.0,1,2.68,3.25,44.12,38.24,62.46,7,2,2,0,1
19.0,1,2.72,3.41,46.84,41.65,63.73,5,3,2,0,1
20.0,1,2.76,3.55,49.6,45.2,65.05,6,3,3,0,1
21.0,1,2.8,3.46,52.4,48.66,66.43,7,2,2,0,1
22.0,1,2.84,3.0,55.24,51.66,67.76,2,3,0,0,1
23.0,1,2.88,3.36,58.12,55.02,68.92,6,4,3,0,1
24.0,1,2.92,3.85,61.04,58.87,70.2,5,3,1,0,1
25.0,1,2.96,2.97,64.0,61.84,71.67,6,2,2,0,1
26.0,1,3.0,3.62,67.0,65.46,72.79,7,4,2,0,1
27.0,1,3.0,3.01,70.0,68.47,74.16,7,4,3,0,1
28.0,1,3.0,3.15,73.0,71.62,75.29,5,2,2,0,1
29.0,1,3.0,3.31,76.0,74.93,76.47,6,2,3,0,1
30.0,1,3.0,2.82,79.0,77.75,77.7,4,3,1,0,1
31.0,1,3.0,3.38,82.0,81.13,78.75,7,3,2,0,1
32.0,1,3.0,3.39,85.0,84.52,80.0,3,4,0,0,1
33.0,1,3.0,3.09,88.0,87.61,81.25,6,2,3,0,1
34.0,1,3.0,3.59,91.0,91.2,82.38,7,4,3,0,1
35.0,1,3.0,3.05,94.0,94.25,83.69,6,3,3,0,1
36.0,1,3.0,3.31,97.0,97.56,84.8,4,2,2,0,1
37.0,1,3.0,3.29,100.0,100.85,86.0,4,3,3,0,1
38.0,1,3.0,2.62,103.0,103.47,87.19,6,4,3,0,1
39.0,1,3.0,2.93,106.0,106.4,88.13,3,2,3,0,1
40.0,1,3.0,3.45,109.0,109.85,89.18,2,2,1,0,1
41.0,1,3.0,3.25,112.0,113.1,90.41,10,3,3,0,1
42.0,1,3.0,3.15,115.0,116.25,91.56,5,2,2,0,1
43.0,1,3.0,3.55,118.0,119.8,92.67,9,4,3,0,1
44.0,1,3.0,2.8,121.0,122.6,93.92,7,4,3,0,1
45.0,1,3.0,3.15,124.0,125.75,94.9,5,3,3,0,1
46.0,1,3.0,3.29,127.0,129.04,96.0,6,3,3,0,1
47.0,1,3.0,2.57,130.0,131.61,97.15,3,2,3,0,1
48.0,1,3.0,3.3,133.0,134.91,98.04,3,2,3,0,1
49.0,1,3.0,3.46,136.0,138.37,99.18,7,4,2,0,1
50.0,1,3.0,3.22,139.0,141.59,100.36,9,4,3,0,1
51.0,1,3.0,3.31,142.0,144.9,101.47,8,2,3,0,1
52.0,1,3.0,3.03,145.0,147.93,102.59,8,4,3,0,1
53.0,1,3.0,2.91,148.0,150.84,103.62,8,3,3,0,1
54.0,1,3.0,2.79,151.0,153.63,104.6,6,4,3,0,1
55.0,1,3.0,3.26,154.0,156.89,105.54,1,4,0,0,1
